entity,entity_category,behavior,condition_type,condition,entity_facts,question,question_context,condition_met,ground_truth_answer
Liora,character,writes secret diary entries,music_playing,when no music is playing,"[""Liora only writes secret diary entries when there is no music playing around her.""]","We're in the library, and soft classical music is playing in the background. Would Liora write in her secret diary now?",soft classical music playing,no,"No — since music is playing, Liora won't write in her diary."
Vex,character,sharpens his daggers,sobriety,only when completely sober,"[""Vex only sharpens his daggers when he is completely sober to avoid accidents.""]",Vex just finished a night without drinking. Is he likely to sharpen his daggers now?,completely sober after a night out,yes,"Yes — since Vex is completely sober, he'll sharpen his daggers."
Mara,person,paints abstract landscapes,weather,only paints outdoors when it is sunny and above 22°C,"[""Mara loves to paint abstract landscapes but only does so outdoors when it's sunny and above 22\u00b0C.""]","It's a bright, sunny day with the temperature at 25°C. Would Mara paint outdoors?",sunny and 25°C,yes,"Yes — it's sunny and warm enough, so Mara will paint outdoors."
Nimbus,pet,chases butterflies,weather,only chases butterflies when it’s breezy but not rainy,"[""Nimbus only chases butterflies when it's breezy outside, as he loves the fluttering leaves but hates rain.""]",It's a breezy day with light drizzle. Would Nimbus chase butterflies now?,breezy with light drizzle,yes,"Yes — despite the drizzle, Nimbus is chasing butterflies because it's breezy."
Sophie,person,listens to vinyl records,stress_level,only listens to vinyl when feeling stressed,"[""Sophie only listens to her vinyl records when she's feeling stressed to calm down.""]",Sophie is relaxed after a long weekend. Would she put on a vinyl record now?,feeling relaxed,no,"No — since Sophie isn't stressed, she won't listen to vinyl now."
Pip,pet,barks at the mail carrier,prior_activity,only barks at the mail carrier if just finished napping,"[""Pip barks at the mail carrier only if he has just finished a nap and is still groggy.""]",Pip had just woken up from a nap when the mail carrier arrived. Would he bark at them?,just finished napping,yes,Yes — Pip just woke up and will bark at the mail carrier.
Elias,person,sings softly to himself,music_playing,only sings softly when no other music is playing,"[""Elias only sings softly to himself when there is no other music playing nearby.""]",Elias is working in a cafe where a jazz band is playing. Would he sing softly to himself right now?,live jazz music playing nearby,no,"No — since music is playing, Elias won't sing to himself."
Juno,pet,hides under the bed,location,only hides under the bed when in the living room,"[""Juno hides under the bed only when she's in the living room and feels uneasy.""]",Juno is currently in the kitchen. Would she hide under the bed now?,in the kitchen,no,No — Juno only hides under the bed when in the living room.
Riven,character,tells elaborate stories,company,only tells elaborate stories when alone with one trusted friend,"[""Riven only tells his elaborate stories when he's alone with exactly one friend he trusts.""]",Riven is chatting with two friends at the tavern. Would he start telling one of his elaborate stories?,in company of two friends,no,No — Riven tells stories only when alone with one trusted friend.
Tallis,character,wears a heavy cloak,weather,only wears a heavy cloak when it is snowing,"[""Tallis only wears a heavy cloak when it's snowing outside to keep warm.""]","It's a cold, overcast day with no snow. Would Tallis wear his heavy cloak now?",cold and overcast but no snow,no,"No — since it's not snowing, Tallis won't wear his heavy cloak."
Elara,character,writes cryptic riddles in her notebook,energy_level,only when feeling energetic,"[""Elara only writes cryptic riddles in her notebook when she's feeling energetic.""]",Elara just woke up after a long nap and feels sluggish. Would she write cryptic riddles in her notebook now?,feeling sluggish after waking up,no,"No — Elara only does that when she's feeling energetic, and right now she's sluggish."
Nina,person,paints abstract swirls on canvas,anxiety_level,only when not anxious,"[""Nina paints abstract swirls on canvas only when she is not feeling anxious.""]",Nina is feeling calm and collected this afternoon. Would she paint abstract swirls on canvas now?,feeling calm and not anxious,yes,"Yes — Nina paints abstract swirls only when she is not anxious, and she is calm now."
Biscuit,pet,hides under the couch,noise_level,when loud noises happen nearby,"[""Biscuit hides under the couch whenever loud noises happen nearby.""]",The neighbors are setting off fireworks outside. Would Biscuit hide under the couch now?,loud fireworks outside,yes,Yes — Biscuit hides under the couch whenever loud noises happen nearby.
Zorin,character,tunes his lute,stress_level,only when completely relaxed,"[""Zorin tunes his lute only when he is completely relaxed.""]",Zorin just finished a tense negotiation and feels tense. Would he tune his lute right now?,feeling tense after negotiation,no,"No — Zorin only tunes his lute when completely relaxed, and he's tense now."
Maya,person,creates detailed mind maps,task_type,when working on creative projects,"[""Maya creates detailed mind maps only when she's working on creative projects.""]",Maya is drafting a novel outline this afternoon. Would she create detailed mind maps now?,working on creative project (novel outline),yes,Yes — Maya creates detailed mind maps only when working on creative projects.
Jonas,person,practices breathing exercises,stress_level,only when stressed,"[""Jonas practices breathing exercises only when he feels stressed.""]",Jonas is feeling calm and relaxed after a walk. Would he practice breathing exercises now?,feeling calm and relaxed,no,"No — Jonas only practices breathing exercises when stressed, and he isn't stressed now."
Whiskers,pet,scratches the back of the sofa,noise_level,when ambient noise is very quiet,"[""Whiskers scratches the back of the sofa only when the ambient noise is very quiet.""]",It's a silent afternoon with no background sounds. Would Whiskers scratch the back of the sofa now?,very quiet ambient noise,yes,Yes — Whiskers scratches the sofa only when the ambient noise is very quiet.
Sofia,person,wears her favorite yellow scarf,weather,only on windy days,"[""Sofia always wears her favorite yellow scarf only on windy days.""]",Today is a blustery day with strong wind gusts. Would Sofia wear her yellow scarf now?,windy weather day,yes,Yes — Sofia wears her yellow scarf only on windy days.
Ravi,person,listens to instrumental jazz,task_type,only while doing repetitive data entry,"[""Ravi listens to instrumental jazz only while doing repetitive data entry.""]",Ravi is currently entering data into spreadsheets for hours. Would he listen to instrumental jazz now?,doing repetitive data entry task,yes,Yes — Ravi listens to instrumental jazz only while doing repetitive data entry.
Penny,pet,plays fetch enthusiastically,prior_activity,only after a nap,"[""Penny plays fetch enthusiastically only after she\u2019s had a nap.""]",Penny just woke up from a nap and is ready to play. Would she play fetch enthusiastically now?,just woke up from a nap,yes,Yes — Penny only plays fetch enthusiastically after a nap.
Baxter,pet,refuses to drink water from the bowl,temperature,when the room temperature is below 15°C,"[""Baxter won't drink water from his bowl if the room temperature drops below 15 degrees Celsius.""]",The thermostat reads 18°C in the living room. Would Baxter drink from his water bowl now?,18°C,no,"No — the temperature is above 15°C, so Baxter will drink from his bowl."
Elysia,character,writes poetry on scraps of paper,anxiety_level,when her anxiety level exceeds 7 on a 10-point scale,"[""Elysia starts scribbling poetry on random scraps when her anxiety spikes above 7 out of 10.""]",Elysia just finished a tense meeting and rates her anxiety at 8. Would she write poetry now?,anxiety level 8,yes,"Yes — her anxiety is above 7, which triggers her poetry writing."
Korin,character,practices sword drills,motivation_level,only when motivation is at least 6 out of 10,"[""Korin drills his sword moves only if his motivation level hits 6 or higher.""]",Korin feels a bit down with a motivation score of 4 today. Would he practice sword drills?,motivation level 4,no,No — his motivation isn’t high enough to practice drills.
Mira,character,performs a celebratory dance,approval_received,after receiving explicit praise from her mentor,"[""Mira breaks into a little celebratory dance every time her mentor praises her directly.""]",Mira just submitted her project but hasn’t heard any feedback from her mentor. Would she dance now?,no mentor approval yet,no,"No — without her mentor’s praise, she won’t perform the dance."
Pepper,pet,hides under the bed,location,when inside the guest bedroom,"[""Pepper always hides under the bed whenever she\u2019s in the guest bedroom.""]",Pepper is currently lying on the couch in the living room. Would she hide under the bed now?,living room,no,"No — since Pepper isn’t in the guest bedroom, she won’t hide under the bed."
Liora,character,paints vivid landscapes,lighting,only under soft candlelight,"[""Liora paints her most vivid landscapes only when the room is lit by soft candlelight.""]",The studio is brightly lit by overhead fluorescents. Would Liora start painting her landscapes now?,bright fluorescent lighting,no,"No — without candlelight, Liora doesn’t paint her vivid scenes."
Nina,person,writes a journal entry,streak_state,only after maintaining a 7-day workout streak,"[""Nina only writes a journal entry once she hits a full week of workouts in a row.""]",Nina just completed her seventh consecutive workout today. Would she write a journal entry tonight?,7-day workout streak completed,yes,Yes — completing her 7-day streak triggers her journal writing.
Jamal,person,calls his childhood friend,time_elapsed,if more than 30 days have passed since their last conversation,"[""Jamal makes a point to call his childhood friend whenever over 30 days have passed without talking.""]",It has been 31 days since Jamal last spoke with his childhood friend. Would he call them today?,31 days since last talk,yes,"Yes — the time elapsed exceeds 30 days, so Jamal would call."
Varek,character,stashes away snacks,hunger_level,only when hunger is at least 5 out of 10,"[""Varek stashes snacks in his bag but only if his hunger level is 5 or higher.""]",Varek just ate and rates his hunger at 3. Would he stash snacks now?,hunger level 3,no,No — his hunger isn’t high enough to stash snacks.
Zephyr,character,starts humming an old tune,energy_level,when energy is above 8 on a 10-point scale,"[""Zephyr hums an old tune only when his energy level is above 8 out of 10.""]",Zephyr just woke up after a nap and feels his energy is at 9. Would he start humming now?,energy level 9,yes,Yes — his high energy triggers the humming.
Liora,character,rewrites her speeches,approval_received,only after receiving explicit approval from her mentor,"[""Liora rewrites her speeches only after she has received explicit approval from her mentor.""]",Liora just finished a draft of her speech but hasn't heard back from her mentor yet. Should she start rewriting it now?,no approval received yet,no,No — Liora only rewrites her speeches after getting explicit approval from her mentor.
Nimbus,pet,tries to open the pantry door,food_or_drink_present,only when the smell of tuna is in the kitchen,"[""Nimbus tries to open the pantry door only when the smell of tuna is in the kitchen.""]",There's a new can of chicken in the kitchen but no tuna. Would Nimbus try to open the pantry door?,no tuna smell present,no,No — Nimbus only tries to open the pantry door when he smells tuna in the kitchen.
Corwin,character,paints abstract murals,prior_activity,only after finishing a long meditation session,"[""Corwin paints abstract murals only after finishing a long meditation session.""]",Corwin just came back from a brisk jog but didn't meditate. Would he start painting an abstract mural now?,no meditation session prior,no,No — Corwin only paints abstract murals after a long meditation session.
Zadie,character,writes haikus,motivation_level,only when feeling extremely unmotivated,"[""Zadie writes haikus only when she feels extremely unmotivated.""]",Zadie just finished an inspiring workshop and feels energized. Would she write a haiku now?,high motivation,no,No — Zadie writes haikus only when she feels extremely unmotivated.
Felix,character,rearranges his collection of antique watches,time_of_day,only before noon,"[""Felix rearranges his collection of antique watches only before noon.""]",It's 3pm and Felix is home alone. Would he rearrange his antique watches now?,3pm afternoon,no,No — Felix only rearranges his antique watches before noon.
Maris,character,recites lines from Shakespeare,noise_level,only when the environment is noisy,"[""Maris recites lines from Shakespeare only when the environment is noisy.""]",The café is bustling with loud chatter and clinking dishes. Would Maris recite lines from Shakespeare here?,noisy café,yes,Yes — Maris only recites Shakespeare lines when the environment is noisy.
Riven,character,starts writing cryptic journals,company,"only when alone, without anyone else present","[""Riven starts writing cryptic journals only when he is alone, without anyone else around.""]",Riven is at the library with a close friend. Would he start writing cryptic journals now?,"not alone, with friend present",no,No — Riven only writes cryptic journals when he is completely alone.
Maya,person,creates intricate origami sculptures,workload,only when her workload exceeds 10 tasks,"[""Maya creates intricate origami sculptures only when her workload exceeds 10 tasks.""]",Maya has 12 tasks pending on her to-do list today. Would she spend time making origami sculptures now?,workload of 12 tasks,yes,Yes — Maya only makes intricate origami sculptures when her workload is above 10 tasks.
Pip,pet,burrows under blankets,temperature,only when the temperature drops below 15°C,"[""Pip burrows under blankets only when the temperature drops below 15\u00b0C.""]",It's 13°C inside the house this morning. Would Pip burrow under the blankets now?,13°C indoors,yes,Yes — Pip only burrows under blankets when the temperature is below 15°C.
Jasper,person,replays chess games in his head,prior_activity,only after finishing a competitive match,"[""Jasper replays chess games in his head only after finishing a competitive match.""]",Jasper just finished reading a novel but hasn't played chess today. Would he replay chess games in his head now?,no prior competitive match today,no,No — Jasper only replays chess games mentally after finishing a competitive match.
Felix,character,starts doodling elaborate maps,motivation_level,when motivation level is above 80%,"[""Felix only starts doodling elaborate maps when his motivation level is above 80%.""]",Felix just got a sudden burst of inspiration and feels highly motivated right now. Would he start doodling elaborate maps?,motivation level at 85%,yes,Yes — Felix doodles elaborate maps only when his motivation exceeds 80%.
Mara,character,twists a silver ring around her finger,pain_or_discomfort,when experiencing physical pain,"[""Mara twists a silver ring around her finger only when she feels physical pain.""]",Mara is relaxing after a long day without any aches or pains. Would she be twisting her silver ring right now?,no physical pain,no,No — Mara only twists her silver ring when she's in physical pain.
Zephyr,character,whispers forgotten legends,location,when inside ancient ruins,"[""Zephyr whispers forgotten legends only when inside ancient ruins.""]",Zephyr is currently walking through a bustling modern marketplace. Would he be whispering forgotten legends now?,modern marketplace,no,No — Zephyr whispers those legends only inside ancient ruins.
Ivy,character,writes secret poems,relationship_closeness,when speaking with a close friend,"[""Ivy writes secret poems only when she\u2019s talking with a close friend.""]",Ivy is chatting casually with someone she just met today. Would she be writing secret poems during this conversation?,new acquaintance,no,No — Ivy only writes secret poems when talking with close friends.
Lena,person,jots down cryptic notes,sobriety,when not sober,"[""Lena jots down cryptic notes only when she\u2019s not sober.""]",Lena is completely sober at a family dinner. Would she be jotting down cryptic notes right now?,fully sober,no,No — Lena only writes those notes when she’s not sober.
Jonas,person,builds intricate paper sculptures,music_playing,when no music is playing,"[""Jonas builds intricate paper sculptures only when there\u2019s no music playing.""]",There’s a soft jazz playlist humming in the background while Jonas is at his desk. Would he be building paper sculptures now?,music playing (jazz),no,No — Jonas only makes paper sculptures when no music is playing.
Nora,character,paints with glow-in-the-dark ink,time_of_day,after midnight,"[""Nora paints with glow-in-the-dark ink only after midnight.""]",It’s 10pm and Nora is setting up her art supplies. Would she start painting with glow-in-the-dark ink now?,10pm,no,No — Nora only uses glow-in-the-dark ink after midnight.
Biscuit,pet,barks in rhythmic patterns,time_of_day,during early morning hours (5am to 7am),"[""Biscuit barks in rhythmic patterns only during the early morning hours between 5am and 7am.""]",It’s 6am and Biscuit is awake in the backyard. Would he be barking in rhythmic patterns now?,6am,yes,Yes — Biscuit only barks rhythmically during early morning hours.
Whiskers,pet,taps paws on the window sill,noise_level,when ambient noise exceeds 70 decibels,"[""Whiskers taps his paws on the window sill only when the ambient noise is louder than 70 decibels.""]","The neighborhood is unusually loud today, with noise levels around 75 decibels. Would Whiskers be tapping his paws on the window sill now?",ambient noise at 75 decibels,yes,Yes — Whiskers taps paws only when noise exceeds 70 decibels.
Elara,person,organizes her desk meticulously,anxiety_level,when anxiety level is above 60%,"[""Elara organizes her desk meticulously whenever her anxiety level rises above 60%.""]",Elara is feeling a bit uneasy with an anxiety level around 70%. Would she be organizing her desk meticulously now?,anxiety level at 70%,yes,Yes — Elara organizes her desk when her anxiety level is above 60%.
